Date,Open,High,Low,Close,Volume,Name,Score
2007-02-20,98.66,99.46,98.55,99.35,4124200,IBM,0.8269240919641806
2007-02-21,99.35,99.37,98.7,99.09,4302400,IBM,0.008831921266542753
2007-02-22,98.8,99.5,97.77,98.5,5902500,IBM,0.5310137678533812
2007-02-23,98.4,98.44,97.41,97.73,6357000,IBM,0.6599414059424017
2007-02-26,97.86,97.86,96.46,96.91,5923691,IBM,0.8646609597481344
2007-02-27,96.0,96.01,92.88,93.96,12071500,IBM,0.034489001401840746
2007-02-28,93.71,94.09,92.47,92.94,12191600,IBM,0.5943842859171873
2007-03-01,90.25,93.05,88.77,92.27,12865732,IBM,0.6094189970152778
2007-03-02,92.0,92.37,90.84,90.9,9451500,IBM,0.9931071020289307
2007-03-05,90.25,92.15,90.1,91.81,10334713,IBM,0.12047140269083101
2007-03-06,91.81,93.89,92.26,93.8,9184500,IBM,0.15983601094462252
2007-03-07,93.8,94.85,93.62,93.94,10269300,IBM,0.4761619896521042
2007-03-08,94.5,94.82,92.52,93.0,7404500,IBM,0.6686604130770836
2007-03-09,93.48,94.0,92.82,93.28,6333100,IBM,0.10440935615889291
2007-03-12,93.68,94.17,92.97,94.11,5531300,IBM,0.1204326767221019
2007-03-13,93.86,94.47,92.62,92.71,7539100,IBM,0.40082434499369013
2007-03-14,94.11,94.03,92.1,93.76,8714065,IBM,0.37665460309699017
2007-03-15,93.4,93.97,93.1,93.45,5910149,IBM,0.9093920973798676
2007-03-16,94.45,94.45,93.02,93.25,8733050,IBM,0.6757998949945568
2007-03-19,93.95,94.32,93.39,93.99,4568062,IBM,0.5585979171872814
2007-03-20,94.0,94.53,93.55,94.5,4560000,IBM,0.21229676523757757
2007-03-21,94.5,95.81,93.83,95.36,7665695,IBM,0.014166330073952071
2007-03-22,95.1,95.44,94.65,95.19,5993550,IBM,0.009951682047577126
2007-03-23,94.82,95.22,94.65,95.03,4412483,IBM,0.43418287817086276
2007-03-26,95.0,95.25,94.32,95.0,6729345,IBM,0.7907009039924654
2007-03-27,94.71,95.03,94.2,94.73,4695800,IBM,0.0696398013477989
2007-03-28,93.9,95.02,93.8,94.26,8128557,IBM,0.786872306590329
2007-03-29,94.66,95.11,93.96,94.57,6851600,IBM,0.26664112015927066
2007-03-30,94.24,94.75,93.57,94.26,7638050,IBM,0.9705806869389678
2007-04-02,94.26,95.5,94.06,95.21,5883700,IBM,0.6985760486561625
2007-04-03,95.45,96.23,95.33,96.1,5730800,IBM,0.5598421964814827
2007-04-04,95.8,96.45,95.57,96.21,4277725,IBM,0.3667582974632192
2007-04-05,95.98,96.75,95.75,96.52,3307100,IBM,0.2907327659199448
2007-04-09,96.43,96.94,96.12,96.62,4850581,IBM,0.03514824275855577
2007-04-10,96.4,96.8,96.16,96.46,3596400,IBM,0.25420749383292085
2007-04-11,96.51,96.7,94.95,95.16,5940774,IBM,0.16472743839967297
2007-04-12,95.16,95.82,94.53,95.67,7085294,IBM,0.40678797659001875
2007-04-13,95.75,95.75,94.59,94.93,6027883,IBM,0.5233505050351444
2007-04-16,94.99,96.3,94.72,96.18,6865100,IBM,0.10436019132192709
2007-04-17,96.3,97.66,96.02,97.12,10271833,IBM,0.21501965612253993
2007-04-18,94.8,95.91,94.4,94.8,15871734,IBM,0.43084285707835146
2007-04-19,94.5,94.87,94.0,94.29,9446948,IBM,0.8726844420497489
2007-04-20,95.02,95.15,93.91,94.58,9340296,IBM,0.5342627576954597
2007-04-23,95.16,95.73,95.05,95.21,7247500,IBM,0.5786174915505929
2007-04-24,97.23,99.9,97.23,98.49,21494578,IBM,0.048111151486779136
2007-04-25,98.74,101.7,98.73,101.46,14827675,IBM,0.6379330185107345
2007-04-26,101.0,101.5,100.21,100.9,8615188,IBM,0.5618439478957233
2007-04-27,100.3,101.17,100.06,101.17,6141359,IBM,0.40429892080898333
2007-04-30,101.11,103.0,100.97,102.21,10050699,IBM,0.4366527706740432
2007-05-01,102.06,103.17,102.05,103.17,8672146,IBM,0.7119170241491307
2007-05-02,102.8,103.14,102.13,102.22,7045178,IBM,0.7899070270681304
2007-05-03,101.75,103.0,101.35,102.8,7318750,IBM,0.497806315525828
2007-05-04,102.75,103.03,102.25,102.96,5469734,IBM,0.6967903214858477
2007-05-07,102.76,103.17,102.4,103.16,5620878,IBM,0.5282240603001882
2007-05-08,102.42,103.39,102.21,103.29,5972400,IBM,0.8268840536083027
2007-05-09,103.93,104.75,103.7,104.38,8408086,IBM,0.9155371876846001
2007-05-10,103.82,105.11,103.71,104.68,8959800,IBM,0.8500970538206573
2007-05-11,104.69,105.99,104.67,105.98,6026250,IBM,0.7608985871665275
2007-05-14,105.81,106.25,104.79,105.57,5732600,IBM,0.47631384407834343
2007-05-15,105.4,105.8,104.7,104.83,6104300,IBM,0.10858352292058915
2007-05-16,105.1,105.89,104.53,105.87,5613508,IBM,0.7877553371296578
2007-05-17,105.61,106.23,104.73,105.31,7720700,IBM,0.4239234629540145
2007-05-18,105.84,108.05,105.6,107.99,9857500,IBM,0.44467115850609307
2007-05-21,107.67,108.0,106.87,107.04,7534802,IBM,0.15827707861276963
